TIME,TEMP,V(N_B),V(N_S),V(N_C),V(N_E_FORCED),V(N_E),V(N_CX),V(N_BX),V(N_EX),V(N_C_FORCED),V(N_TNODE),V(N_B_FORCED),V(N_SX),I(VV_B),I(VV_C),I(VV_E),I(RI_S),I(RI_B),I(RI_E),I(RI_C),AC_SWITCH
0.00000000e+00,2.68500000e+01,4.05656424e-26,-1.31051604e-55,-4.05656424e-26,0.00000000e+00,3.05630601e-37,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.31051604e-55,4.05656424e-23,-4.05656424e-23,3.05630601e-34,2.62103208e-56,-4.05656424e-23,-3.05630601e-34,4.05656424e-23,0.00000000e+00
0.00000000e+00,2.68500000e+01,4.05656424e-26,-1.31051604e-55,-4.05656424e-26,0.00000000e+00,3.05630601e-37,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.31051604e-55,4.05656424e-23,-4.05656424e-23,3.05630601e-34,2.62103208e-56,-4.05656424e-23,-3.05630601e-34,4.05656424e-23,1.00000000e+00
0.00000000e+00,2.68500000e+01,1.00000000e-01,-1.15891078e-47,1.00000000e-01,0.00000000e+00,4.29228015e-16,1.00000000e-01,1.00000000e-01,0.00000000e+00,1.00000000e-01,0.00000000e+00,1.00000000e-01,-1.15891078e-47,-3.25146606e-13,-1.04081409e-13,4.29228015e-13,2.31461424e-48,3.25146606e-13,-4.29228015e-13,1.04081409e-13,0.00000000e+00
0.00000000e+00,2.68500000e+01,1.00000000e-01,-1.15891078e-47,1.00000000e-01,0.00000000e+00,4.29228015e-16,1.00000000e-01,1.00000000e-01,0.00000000e+00,1.00000000e-01,0.00000000e+00,1.00000000e-01,-1.15891078e-47,-3.25146606e-13,-1.04081409e-13,4.29228015e-13,2.31461424e-48,3.25146606e-13,-4.29228015e-13,1.04081409e-13,1.00000000e+00
0.00000000e+00,2.68500000e+01,2.00000000e-01,-2.67756443e-51,2.00000000e-01,0.00000000e+00,2.60156873e-15,2.00000000e-01,2.00000000e-01,0.00000000e+00,2.00000000e-01,0.00000000e+00,2.00000000e-01,-2.67756443e-51,-2.20917953e-12,-3.92389201e-13,2.60156873e-12,5.35512887e-52,2.20917953e-12,-2.60156873e-12,3.92389201e-13,0.00000000e+00
0.00000000e+00,2.68500000e+01,2.00000000e-01,-2.67756443e-51,2.00000000e-01,0.00000000e+00,2.60156873e-15,2.00000000e-01,2.00000000e-01,0.00000000e+00,2.00000000e-01,0.00000000e+00,2.00000000e-01,-2.67756443e-51,-2.20917953e-12,-3.92389201e-13,2.60156873e-12,5.35512887e-52,2.20917953e-12,-2.60156873e-12,3.92389201e-13,1.00000000e+00
0.00000000e+00,2.68500000e+01,3.00000000e-01,2.48617684e-50,3.00000000e-01,0.00000000e+00,2.57397723e-14,3.00000000e-01,3.00000000e-01,0.00000000e+00,3.00000000e-01,0.00000000e+00,3.00000000e-01,2.48617684e-50,-1.66059841e-11,-9.13378816e-12,2.57397723e-11,-4.97235368e-51,1.66059841e-11,-2.57397723e-11,9.13378816e-12,0.00000000e+00
0.00000000e+00,2.68500000e+01,3.00000000e-01,2.48617684e-50,3.00000000e-01,0.00000000e+00,2.57397723e-14,3.00000000e-01,3.00000000e-01,0.00000000e+00,3.00000000e-01,0.00000000e+00,3.00000000e-01,2.48617684e-50,-1.66059841e-11,-9.13378816e-12,2.57397723e-11,-4.97235368e-51,1.66059841e-11,-2.57397723e-11,9.13378816e-12,1.00000000e+00
0.00000000e+00,2.68500000e+01,4.00000000e-01,7.62216418e-51,4.00000000e-01,0.00000000e+00,5.35155898e-13,4.00000000e-01,4.00000000e-01,0.00000000e+00,4.00000000e-01,0.00000000e+00,4.00000000e-01,7.62216418e-51,-1.32908623e-10,-4.02247275e-10,5.35155898e-10,-1.52443280e-51,1.32908623e-10,-5.35155898e-10,4.02247275e-10,0.00000000e+00
0.00000000e+00,2.68500000e+01,4.00000000e-01,7.62216418e-51,4.00000000e-01,0.00000000e+00,5.35155898e-13,4.00000000e-01,4.00000000e-01,0.00000000e+00,4.00000000e-01,0.00000000e+00,4.00000000e-01,7.62216418e-51,-1.32908623e-10,-4.02247275e-10,5.35155898e-10,-1.52443280e-51,1.32908623e-10,-5.35155898e-10,4.02247275e-10,1.00000000e+00
