 time            in              out             time            v1#branch       vdd             vdd#branch      vmeas#branch    vss            
 0.00000000e+00  0.00000000e+00  1.19999058e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 -2.40185591e-08  2.40185591e-08  0.00000000e+00 
 1.00000000e-13  6.00000000e-04  1.20034152e+00  1.00000000e-13 -1.25237563e-05  1.20000000e+00  5.39082606e-06  7.13293027e-06  0.00000000e+00 
 2.00000000e-13  1.20000000e-03  1.20064064e+00  2.00000000e-13 -1.30382812e-05  1.20000000e+00  6.20999323e-06  6.82828799e-06  0.00000000e+00 
 4.00000000e-13  2.40000000e-03  1.20115059e+00  4.00000000e-13 -1.39157410e-05  1.20000000e+00  7.60626574e-06  6.30947528e-06  0.00000000e+00 
 8.00000000e-13  4.80000000e-03  1.20177740e+00  8.00000000e-13 -1.49936917e-05  1.20000000e+00  9.31955659e-06  5.67413511e-06  0.00000000e+00 
 1.60000000e-12  9.60000000e-03  1.20226426e+00  1.60000000e-12 -1.58237909e-05  1.20000000e+00  1.06373630e-05  5.18642794e-06  0.00000000e+00 
 3.20000000e-12  1.92000000e-02  1.20239948e+00  3.20000000e-12 -1.60385339e-05  1.20000000e+00  1.09699340e-05  5.06859991e-06  0.00000000e+00 
 6.40000000e-12  3.84000000e-02  1.20239553e+00  6.40000000e-12 -1.60059875e-05  1.20000000e+00  1.08840958e-05  5.12189165e-06  0.00000000e+00 
 1.28000000e-11  7.68000000e-02  1.20243093e+00  1.28000000e-11 -1.60705375e-05  1.20000000e+00  1.08283706e-05  5.24216689e-06  0.00000000e+00 
 2.28000000e-11  1.36800000e-01  1.20226040e+00  2.28000000e-11 -1.62794198e-05  1.20000000e+00  1.01803360e-05  6.09908379e-06  0.00000000e+00 
 3.28000000e-11  1.96800000e-01  1.20112467e+00  3.28000000e-11 -1.71329002e-05  1.20000000e+00  7.42450453e-06  9.70839563e-06  0.00000000e+00 
 4.28000000e-11  2.56800000e-01  1.19680130e+00  4.28000000e-11 -1.85432959e-05  1.20000000e+00 -1.67174264e-06  2.02150386e-05  0.00000000e+00 
 5.28000000e-11  3.16800000e-01  1.18652115e+00  5.28000000e-11 -1.98631788e-05  1.20000000e+00 -2.09029301e-05  4.07661089e-05  0.00000000e+00 
 6.28000000e-11  3.76800000e-01  1.16809411e+00  6.28000000e-11 -2.11359574e-05  1.20000000e+00 -5.03884703e-05  7.15244277e-05  0.00000000e+00 
 7.28000000e-11  4.36800000e-01  1.13851941e+00  7.28000000e-11 -2.24846327e-05  1.20000000e+00 -8.77447874e-05  1.10229420e-04  0.00000000e+00 
 8.28000000e-11  4.96800000e-01  1.08985622e+00  8.28000000e-11 -2.44613262e-05  1.20000000e+00 -1.29107669e-04  1.53568995e-04  0.00000000e+00 
 9.28000000e-11  5.56800000e-01  9.81557594e-01  9.28000000e-11 -2.89411648e-05  1.20000000e+00 -1.63462078e-04  1.92403243e-04  0.00000000e+00 
 1.02800000e-10  6.16800000e-01  6.37702064e-01  1.02800000e-10 -3.89037699e-05  1.20000000e+00 -1.56661430e-04  1.95565200e-04  0.00000000e+00 
 1.12800000e-10  6.76800000e-01  1.85623251e-01  1.12800000e-10 -4.10025528e-05  1.20000000e+00 -1.37243623e-04  1.78246176e-04  0.00000000e+00 
 1.22800000e-10  7.36800000e-01  6.51079892e-02  1.22800000e-10 -1.74497672e-05  1.20000000e+00 -9.58849632e-05  1.13334730e-04  0.00000000e+00 
 1.32800000e-10  7.96800000e-01  5.04375155e-02  1.32800000e-10 -2.36986695e-05  1.20000000e+00 -5.64661076e-05  8.01647772e-05  0.00000000e+00 
 1.42800000e-10  8.56800000e-01  1.78527922e-02  1.42800000e-10 -2.04023991e-05  1.20000000e+00 -2.76847801e-05  4.80871792e-05  0.00000000e+00 
 1.52800000e-10  9.16800000e-01  1.36524502e-02  1.52800000e-10 -1.71752364e-05  1.20000000e+00 -8.71672201e-06  2.58919584e-05  0.00000000e+00 
 1.62800000e-10  9.76800000e-01  2.93476182e-03  1.62800000e-10 -2.02200386e-05  1.20000000e+00 -5.20396246e-07  2.07404348e-05  0.00000000e+00 
 1.72800000e-10  1.03680000e+00  4.94324884e-03  1.72800000e-10 -1.31219311e-05  1.20000000e+00  2.18455194e-06  1.09373792e-05  0.00000000e+00 
 1.82800000e-10  1.09680000e+00  1.75581782e-03  1.82800000e-10 -2.05648319e-05  1.20000000e+00  2.46342491e-06  1.81014070e-05  0.00000000e+00 
